SMILES,TDDFT_S1,TDDFT_T1
Cc1cccc2c3cccc(C)c3n(C#Cc3ccc(C#N)cc3C#N)c12,2.9681,2.3247
Nc1ccccc1C(=O)C=Cc1ccc([N+](=O)[O-])cc1,2.5939,2.2352
O=c1cc[nH]c2cc(C=Cc3coc4ccccc34)ccc12,3.5606,2.1781
Cn1cnnc1CSCc1c2ccoc2cc2ccoc12,4.2008,2.7348
Cc1cc(C)c(-c2ccc(-c3c(C)cc(C)c(-c4cccc5c(N(C)C)cccc45)c3C)c3[nH]nnc23)c(C)c1-c1ccnc2c1[SiH2:2]c1cccnc1[SiH2]2,3.7077,2.5635
c1ccc2c(c1)c1ccccc1n2-c1ccc(COCc2ccc3c(c2)[nH]c2cc(COCc4ccc5c(c4)[SiH2]c4cnccc4[SiH2:2]5)ccc23)cc1,3.9123,3.0779
COC1=C2C=C(Cl)C(Cl)=[N+]2[B-](F)(F)n2c1cc(Cl)c2Cl,1.8057,1.7472
Fc1c(F)c(C(c2ccccc2)c2cccc3ncccc23)c(F)c(F)c1C(c1ccccc1)c1ccc2c(c1)-c1cnccc1[SiH2:2]2,4.0616,2.7446
CC1=CC(C)=[N+]2C1=C(C)c1c(C)c(-c3ccc(C(F)(F)F)cc3)c(C)n1[B-]2(F)F,2.8877,1.5885
O=C1c2cccc3c(NCCO)c([N+](=O)[O-])cc(c23)C(=O)N1CCO,3.1078,2.1757
Cc1cccc2c3cccc(C)c3n(C=Cc3cnc4oc5ncccc5c4c3)c12,3.0694,2.5951
C(#Cc1cnc2cccnc2c1)c1ccc2c(c1)[CH2:2]c1ncccc1[SiH2:2]2,3.5226,2.4043
N#CC(=Cc1ccc2c(c1)CCc1ccccc1N2c1ccc(N)cc1)C(=O)O,2.2364,1.7527
CCCCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](C)c4c(ccc5c6c(ccc45)C(C)(C)C(C=C4C(=O)C(C=C5N(CC)c7ccc8ccccc8c7C5(C)C)=C4[O-])=[N+]6C)C3(C)C)C2=O)C(C)(C)c2cc(C(=O)O)ccc21,1.6864,0.8848
O=C1Cc2ccccc2N1c1ccccc1,4.3607,3.4846
c1ccc(-n2c3ccc4[nH]c5ccccc5c4c3c3c4ccccc4c4ccccc4c32)cc1,2.9038,1.9962
CCCCCCN1C(=O)C2=C(c3cccs3)N(CCCCCC)C(=O)C2=C1c1cccs1,2.3716,0.9982
c1cnc2sc3ncc(-c4ccc(-n5c6ccccc6c6cnccc65)cc4)cc3c2c1,3.5782,3.0166
O=c1[nH]ccn1COCc1cnc2cc(COCc3ccc4c(c3)Oc3ccccc3O4)cnc2c1,3.3167,3.0365
C(#Cn1ccc2cnccc21)c1ccc(-c2ccccn2)cc1,3.618,2.6103
Cc1cccc2c3cccc(C)c3n(-c3cc4sc(-c5nc6nc7nc(-c8cc9sc(-n%10c%11c(C)cccc%11c%11cccc(C)c%11%10)cc9s8)[nH]c7nc6[nH]5)cc4s3)c12,2.7701,1.9206
c1cn(COCc2cncc3nccnc23)cn1,3.2945,2.7278
N#Cc1cc(CO)ccc1Oc1cccc(F)c1,4.3398,3.2963
S=c1oc(-c2ccccc2)cc2ccccc12,2.6676,2.1903
c1ccc2c(c1)Sc1ccccc1N2CSCc1cncc2c1-c1ccncc1[SiH2:2]2,2.638,2.6318
c1csc(-c2sc(-c3cnc4cc(-c5sc(-c6cccs6)c6c5OCCO6)cnc4c3)c3c2OCCO3)c1,2.6006,1.7173
C(=Cn1cccn1)c1ccc2c(c1)-c1ccncc1[SiH2:2]2,3.6388,2.3866
C[SiH]1c2ccccc2-c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(C7=Cc8ccccc8C7)cc6)ccnc45)cc3)cc21,3.3473,2.2212
O=C1c2cccnc2-c2ccc(N(c3ccccc3)c3ccccc3)c3cccc1c23,2.307,1.7622
C(#Cn1ccc2cnccc21)c1cccnc1,4.0501,2.9903
O=C(c1ccc(-c2ccc(-n3ccc4cc5ccoc5cc43)cc2)cc1)C(F)(F)F,2.5378,2.3331
c1ccc(C(c2cncc3nccnc23)n2cnnc2)cc1,3.3073,2.7377
CN(C)c1cccc2c(CSCc3cc(CSCc4ccc5c(c4)S(=O)(=O)c4ccccc4-5)cc([SH](=O)=O)c3)cccc12,2.5488,2.4831
C(=Cc1c2ccoc2c(C=Cn2ccc3cnccc32)c2ccoc12)c1cocn1,2.933,1.7039
CC1(C)c2ccccc2N(c2c3ncsc3cc3ncsc23)c2ccccc21,2.5715,2.5621
CC1=[N+]2C(=C(C=NNC(=O)c3ccccc3)c3ccc(C)n3[B-]2(F)F)C=C1,2.5048,1.207
CC1C=C(C2CC(c3cncc4c3[nH]c3c(C5CC(Nc6ccccc6)CC(c6ccccc6)(c6ccccc6)C5)cncc34)CC(c3ccccc3)(c3ccccc3)C2)c2ccccc21,4.0408,3.0208
c1cc2[nH]c3c(-n4ccc5cc6ccoc6cc54)cncc3c2cn1,3.5786,2.8234
Cc1cc(C)c(-c2cccc3c2ccn3C)c(C)c1-c1ncon1,3.9959,3.1346
Cc1ccc(-n2c3nc(-c4ccccc4)nc-3nc3ccc(C)cc32)cc1,3.1847,2.0614
Cc1cc(C)c(B(c2ccc(C#Cc3ccc(C(=C(c4ccccc4)c4ccc(C#Cc5ccc(B(c6c(C)cc(C)cc6C)c6c(C)cc(C)cc6C)cc5)cc4)c4ccccc4)cc3)cc2)c2c(C)cc(C)cc2C)c(C)c1,2.7367,2.0548
Cc1cc(C)c(-n2cnc3cc4nc[nH]c4cc32)c(C)c1-c1nncn1C,4.1018,3.0123
c1cc(COCn2cnc3nc4nc[nH]c4cc32)c2ccsc2c1,4.41,3.0799
Cc1c(-c2cc(F)c(F)c(F)c2)ccc(-c2ccc3c(c2)[nH]c2cc(-c4ccc(-c5ccc6c(c5)N(C)c5ccccc5N6C)c(C)c4C)ccc23)c1C,2.7686,2.406
CC1(C)c2ccccc2-c2ccc(C=Cc3c4[nH]cnc4c(C=Cc4cncc5c4[SiH2:2]c4ccncc4-5)c4nc[nH]c34)cc21,2.6108,1.5863
c1cnc2c(c1)[SiH2:2]c1cc(COCc3cnc4ncccc4c3)cnc1-2,3.761,2.9823
C(#Cc1ccc2c(c1)oc1ccccc12)c1ccc(-c2cc3c4c(c2)CCCN4CCC3)cc1,2.8713,2.2424
Cc1cc(-c2cnc3oc4ncc(-c5c(C)cc(-c6cccc7c(=O)cc[nH]c67)cc5C)cc4c3c2)cc(C)c1C1=CC(C)c2ccccc21,3.6001,2.9373
c1cc(-c2ccnc3ncccc23)c2ccsc2c1,3.61,2.8391
Cc1cc(=O)oc2cc(OCc3cn(C(O)[C@H]4O[C@@H](n5ccc(=O)[nH]c5=O)[C@H](O)[C@@H]4O)nn3)ccc12,4.1235,2.7973
Cc1cc(-c2cnc3cc(-c4cc(C)c(-c5ccc6cnc7ccccc7c6c5)cc4C)cnc3c2)c(C)cc1Nc1ccccc1,2.9448,2.5515
Cc1ccc(S(=O)(=O)c2c(-c3ccccc3C)c3c(C)c4ccccc4n3c3ccccc23)cc1,2.8374,1.848
Cc1cc(-n2ccnc2)cc(C)c1C1=C(c2cc(C)c(-n3c4ccccc4c(=O)c4ccccc43)c(C)c2)C(=O)NC1=O,2.2495,2.2292
Cc1cc(-c2cnc3nccnc3n2)c(C)cc1-c1ccc2c(c1)C(C)c1ccccc1-2,2.7523,2.3815
COc1ccc(-c2cc3c4c(ccc5c4c2OC(c2ccccc2)=C5c2ccccc2)C(c2ccccc2)=C(c2ccccc2)O3)cc1Br,2.2267,1.4926
N#CC(=Cc1ccc2ccc3cccc4ccc1c2c34)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,2.7579,1.7121
CCCCCN1c2ccccc2C(=C(C#N)C#N)c2ccccc21,2.9359,1.9787
CC1(C)c2ccccc2N(C(c2ccccc2)c2cnc3nccnc3n2)c2ccccc21,1.9458,1.9082
