SMILES,TDDFT_S1,TDDFT_T1
Brc1ccc2nc3ccc(Br)cc3nc2c1,3.1094,1.8817
Brc1ccc2nc(/N=C/c3c4ccccc4cc4ccccc34)sc2c1,2.5327,1.4259
Brc1ccc2[nH]c3ccc(Br)cc3c2c1,3.8073,3.1343
Brc1ccc2[nH]c(-c3ccc(-c4ccc(-c5ccc(-c6nc7cc(Br)ccc7[nH]6)cc5)cc4)cc3)nc2c1,3.344,2.5385
Brc1ccc(Br)cc1,4.8712,3.5464
BrC1CCCC1,5.8082,5.2549
Brc1cccc2c1ccc1cc3ccccc3cc12,3.3268,2.0433
Brc1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,3.1016,1.7334
Brc1ccc(-c2c3ccccc3nc3ccccc23)cc1,3.1963,1.8659
Brc1cccc2cc3c(Br)cccc3cc12,3.0923,1.7576
Brc1ccc(-c2ccc3cc4ccccc4nc3n2)cc1,3.1828,1.9713
Brc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,3.9058,2.9543
Brc1ccc(-c2ccc(Br)cc2)cc1,4.495,3.1272
Brc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,4.1718,2.9535
Brc1cccc2ccccc12,4.1931,2.6543
Brc1ccc(-c2cc(/N=C/c3c4ccccc4cc4ccccc34)n(-c3ccccc3)n2)cc1,2.583,1.4661
Brc1ccc(-c2cn3ccc(C=Cc4ccccc4)cc3n2)cc1,3.3071,2.0667
Brc1ccc(-c2cn3ccc(C=Cc4cccs4)cc3n2)cc1,3.1927,1.8634
Brc1ccc(-c2cnc(-c3ccc(-c4cnc(-c5ccc(Br)cc5)o4)cc3)o2)cc1,3.0599,2.109
Brc1ccc(-c2nc3c(c4c2-c2ccc(Br)cc2CC4)-c2ccc(Br)cc2CC3)cc1,3.5743,2.5928
Brc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,3.7315,2.7174
Brc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)[nH]4)cc3)[nH]c2-c2ccc(Br)cc2)cc1,3.1067,2.3111
Brc1ccc(-c2nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)n2)cc1,2.7227,2.2565
Brc1ccc(-c2nnc3ccccn23)cc1,3.8224,2.6803
Brc1ccc(-c2oc3cc4nc5ccccc5nc4c4cccc(c2-c2ccc(Br)cc2)c34)cc1,2.5969,1.8874
Brc1ccc(-c2oc3ccc4oc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)c5ccc(c2-c2ccc(Br)cc2)c3c45)cc1,2.1946,1.4755
Brc1ccc(-c2pc3ccccc3s2)cc1,3.4937,2.0706
Brc1ccccc1,5.1436,3.6832
Brc1ccccc1-c1ccc(-c2ccccc2)cc1,4.3478,3.0983
