,SMILES,xTB_S1,xTB_T1,T1S1ratio
415902,CSc1ccc2c(S)cc3ccnc4ccc1c2c34,3.244652652492296,2.11732663512731,0.6525587980892008
88442,FC(F)(CCC(Cl)(Br)Br)C(F)(F)[C](C1=C([C](C(Br)Br)C(F)(F)C(F)(F)CCC(Cl)(Br)Br)C1=C(C(Br)Br)C(F)(F)C(F)(F)CCC(Cl)(Br)Br)C(Br)Br,2.610404673706988,1.675165573160974,0.6417263920931087
313110,COc1ccc2c(ccc3c(S)cccc32)c1,3.6950008811641375,2.6548576151069585,0.7184998598080241
341306,FC(F)(F)c1ccnc2c1cnc1cccc(S)c12,3.218771465485163,2.391602918683451,0.743017310899072
211216,CCOC(=O)C=C1N2CCCN3CCCCC(=C23)C1=O,2.8189152117650202,2.0554489609414097,0.7291631023036065
198386,CCCCCCN1c2ccccc2Sc2cc(C=Cc3ccc(cc3)c3cc(nc(c3)c3ccccn3)c3ccccn3)ccc12,2.834230792311576,2.149558357759742,0.7584274236208476
395107,N#Cc1nc2cccc3ccc4c(S(=O)(=O)O)ccc1c4c32,3.0675649326459027,1.8800624206479573,0.612884311148493
196726,Oc1ccc(C=[NH+]c2ccc(Br)cc2)c([O-])c1O,2.766584493947419,1.6471867686809702,0.5953863951325523
383146,O=C(O)c1ccc2c3cccnc3c3ccccc3c2c1C(=O)O,3.629926077947297,2.798859645261923,0.771051416794874
69319,FC(F)(CCC(Br)(Br)Br)C(F)(F)CC1=CC=C(CC(F)(F)C(F)(F)CCC(Br)(Br)Br)C=C1,4.108070381535464,3.640670703561279,0.8862240335328709
294260,COc1cccc2c1oc1cccc(OC)c12,4.274004415840949,3.1568081141896824,0.7386066571408892
97267,FC(F)(/C(Br)=C(\Br)N1BN(/C(Br)=C(\Br)C(F)(F)C(Cl)(Cl)Br)BN(/C(Br)=C(\Br)C(F)(F)C(Cl)(Cl)Br)B1)C(Cl)(Cl)Br,3.994724142247437,3.1051525042914223,0.7773133747714703
578971,C[C@H]1[C@@H](O)C=C[C@H]1O,4.935273214796228,2.9463409360548036,0.5969965203185726
356421,CN(C)c1cnc2cc3cccnc3cc2c1S,2.71914154762718,1.738155816667179,0.639229619430425
329966,Oc1cc2c(cc1F)nnc1ccccc12,2.9997460426741074,2.2319242808702624,0.744037744902107
